session_name,ID,trial_round,time_end,total_distance,mean_velocity,incorrect_entries,time_to_decision_zone_1,time_to_correct_zone_1,time_to_incorrect_zone_1,time_to_decision_zone_2,time_to_incorrect_zone_2,time_to_correct_zone_2,group,tank,frame_rate,pixels_per_cm,cam,batch,day,link,orientation,jar_ID,treatment,sex,Notes,std_length,unique_id,tanks3&4_release,tanks1&2_release,start,wrong_start,missing_fish
cam1-b1-d1-t1_edit_tank1,cam1-b1-d1 1,1,69.36,109.18343502274452,1.5741556375828218,0,16.82,52.26,NA,55.16,NA,70.02,cam1-b1-d1,1,50,16.899789758061818,1,1,1,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d1-t1,3223,3353,3386,NA,NA
cam1-b1-d1-t1_edit_tank2,cam1-b1-d1 2,1,63.24,110.19421885685993,1.7424765790142305,2,25.26,42.08,32.28,44.919999999999995,49.36,63.9,cam1-b1-d1,2,50,16.899789758061818,1,1,1,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d1-t1,3223,3353,3386,NA,NA
cam1-b1-d1-t1_edit_tank3,cam1-b1-d1 3,1,234.06,394.3731492319567,1.6849233069809308,5,64.47999999999999,66.52,25.46,71.02000000000001,75.9,237.32,cam1-b1-d1,3,50,16.899789758061818,1,1,1,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d1-t1,3223,3353,3386,NA,NA
cam1-b1-d1-t1_edit_tank4,cam1-b1-d1 4,1,82.46,168.39868834637025,2.0421863733491423,2,64.82,5.48,27.020000000000003,9.08,61.919999999999995,85.72,cam1-b1-d1,4,50,16.899789758061818,1,1,1,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d1-t1,3223,3353,3386,NA,NA
cam1-b1-d1-t2_edit_tank1,cam1-b1-d1 1,2,42.22,87.42893203240355,2.0707942215159534,0,9.44,15.42,NA,36.660000000000004,NA,43.06,cam1-b1-d1,1,50,16.899789758061818,1,1,1,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d1-t2,3335,3466,3508,NA,NA
cam1-b1-d1-t2_edit_tank2,cam1-b1-d1 2,2,21.1,51.2931641516454,2.430955646997412,0,0.86,14.459999999999999,NA,17.419999999999998,NA,21.94,cam1-b1-d1,2,50,16.899789758061818,1,1,1,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d1-t2,3335,3466,3508,NA,NA
cam1-b1-d1-t2_edit_tank3,cam1-b1-d1 3,2,18.48,34.90273317563458,1.8886760376425638,0,66.72,11.54,NA,15.04,NA,21.94,cam1-b1-d1,3,50,16.899789758061818,1,1,1,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d1-t2,3335,3466,3508,NA,NA
cam1-b1-d1-t2_edit_tank4,cam1-b1-d1 4,2,18.5,49.95238685085251,2.7001290189650007,0,66.74000000000001,15.7,NA,18.2,NA,21.96,cam1-b1-d1,4,50,16.899789758061818,1,1,1,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d1-t2,3335,3466,3508,NA,NA
cam1-b1-d1-t3_edit_tank1,cam1-b1-d1 1,3,45.7,97.19168267968517,2.1267326625751677,0,5.0600000000000005,6.84,NA,11.08,NA,46.64,cam1-b1-d1,1,50,16.899789758061818,1,1,1,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d1-t3,3916,4049,4096,NA,NA
cam1-b1-d1-t3_edit_tank2,cam1-b1-d1 2,3,195.06,216.0301208463288,1.1075060024932266,4,83.74,173.94,91,184.34,NA,196,cam1-b1-d1,2,50,16.899789758061818,1,1,1,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d1-t3,3916,4049,4096,NA,NA
