group,cam,batch,tank,day,point,point_order,area,mean,min,max,x,y,frame_rate
cam1-b1-d1,1,1,1,1,1,1,0,149,149,149,505,528,50
cam1-b1-d1,1,1,1,1,2,2,0,173,173,173,663.5,530.167,50
cam1-b1-d1,1,1,1,1,3,3,0,155,155,155,728.833,532.833,50
cam1-b1-d1,1,1,1,1,4,4,0,165,165,165,771.5,531.5,50
cam1-b1-d1,1,1,1,1,5,5,0,157,157,157,878.167,534.167,50
cam1-b1-d1,1,1,1,1,6,6,0,151,151,151,928.833,531.5,50
cam1-b1-d1,1,1,1,1,7,7,0,166,166,166,931.5,283.5,50
cam1-b1-d1,1,1,1,1,8,8,0,171,171,171,878.167,282.167,50
cam1-b1-d1,1,1,1,1,9,9,0,184,184,184,772.833,282.167,50
cam1-b1-d1,1,1,1,1,10,10,0,172,172,172,718.167,279.5,50
cam1-b1-d1,1,1,1,1,11,11,0,172,172,172,663.5,279.5,50
cam1-b1-d1,1,1,1,1,12,12,0,172,172,172,506.167,279.5,50
cam1-b1-d1,1,1,1,1,13,13,0,165,165,165,934.167,407.5,50
cam1-b1-d1,1,1,1,1,14,14,0,183,183,183,882.167,407.5,50
cam1-b1-d1,1,1,1,1,15,15,0,172,172,172,772.833,406.167,50
cam1-b1-d1,1,1,1,1,16,16,0,176,176,176,718.167,406.167,50
cam1-b1-d1,1,1,2,1,1,17,0,170,170,170,1392.833,276.833,50
cam1-b1-d1,1,1,2,1,2,18,0,176,176,176,1238.167,275.5,50
cam1-b1-d1,1,1,2,1,3,19,0,165,165,165,1182.167,278.167,50
cam1-b1-d1,1,1,2,1,4,20,0,177,177,177,1124.833,278.167,50
cam1-b1-d1,1,1,2,1,5,21,0,173,173,173,1018.167,278.167,50
cam1-b1-d1,1,1,2,1,6,22,0,166,166,166,970.167,280.833,50
cam1-b1-d1,1,1,2,1,7,23,0,156,156,156,971.5,528.833,50
cam1-b1-d1,1,1,2,1,8,24,0,168,168,168,1026.167,530.167,50
cam1-b1-d1,1,1,2,1,9,25,0,155,155,155,1128.833,531.5,50
cam1-b1-d1,1,1,2,1,10,26,0,170,170,170,1188.833,530.167,50
cam1-b1-d1,1,1,2,1,11,27,0,173,173,173,1235.5,530.167,50
cam1-b1-d1,1,1,2,1,12,28,0,175,175,175,1392.833,522.167,50
cam1-b1-d1,1,1,2,1,13,29,0,171,171,171,968.833,402.167,50
cam1-b1-d1,1,1,2,1,14,30,0,182,182,182,1019.5,403.5,50
cam1-b1-d1,1,1,2,1,15,31,0,180,180,180,1128.833,406.167,50
cam1-b1-d1,1,1,2,1,16,32,0,181,181,181,1184.833,407.5,50
cam1-b1-d1,1,1,3,1,1,33,0,177,177,177,518.167,563.5,50
cam1-b1-d1,1,1,3,1,2,34,0,184,184,184,674.167,564.833,50
cam1-b1-d1,1,1,3,1,3,35,0,174,174,174,727.5,564.833,50
cam1-b1-d1,1,1,3,1,4,36,0,183,183,183,782.167,566.167,50
cam1-b1-d1,1,1,3,1,5,37,0,175,175,175,888.833,566.167,50
cam1-b1-d1,1,1,3,1,6,38,0,167,167,167,942.167,566.167,50
cam1-b1-d1,1,1,3,1,7,39,0,152,152,152,940.833,812.833,50
cam1-b1-d1,1,1,3,1,8,40,0,172,172,172,890.167,810.167,50
cam1-b1-d1,1,1,3,1,9,41,0,172,172,172,780.833,811.5,50
cam1-b1-d1,1,1,3,1,10,42,0,176,176,176,726.167,811.5,50
cam1-b1-d1,1,1,3,1,11,43,0,177,177,177,671.5,811.5,50
cam1-b1-d1,1,1,3,1,12,44,0,163,163,163,516.833,814.167,50
cam1-b1-d1,1,1,3,1,13,45,0,173,173,173,942.167,690.167,50
cam1-b1-d1,1,1,3,1,14,46,0,182,182,182,890.167,691.5,50
cam1-b1-d1,1,1,3,1,15,47,0,182,182,182,782.167,686.167,50
cam1-b1-d1,1,1,3,1,16,48,0,185,185,185,727.5,686.167,50
cam1-b1-d1,1,1,4,1,1,49,0,157,157,157,1398.167,807.5,50
cam1-b1-d1,1,1,4,1,2,50,0,174,174,174,1240.833,804.833,50
cam1-b1-d1,1,1,4,1,3,51,0,169,169,169,1184.833,804.833,50
cam1-b1-d1,1,1,4,1,4,52,0,168,168,168,1131.5,807.5,50
cam1-b1-d1,1,1,4,1,5,53,0,174,174,174,1028.833,808.833,50
cam1-b1-d1,1,1,4,1,6,54,0,165,165,165,975.5,810.167,50
cam1-b1-d1,1,1,4,1,7,55,0,163,163,163,975.5,563.5,50
cam1-b1-d1,1,1,4,1,8,56,0,167,167,167,1024.833,563.5,50
cam1-b1-d1,1,1,4,1,9,57,0,181,181,181,1130.167,564.833,50
cam1-b1-d1,1,1,4,1,10,58,0,164,164,164,1183.5,564.833,50
cam1-b1-d1,1,1,4,1,11,59,0,177,177,177,1238.167,566.167,50
cam1-b1-d1,1,1,4,1,12,60,0,173,173,173,1391.5,562.167,50
cam1-b1-d1,1,1,4,1,13,61,0,175,175,175,971.5,686.167,50
cam1-b1-d1,1,1,4,1,14,62,0,181,181,181,1020.833,686.167,50
cam1-b1-d1,1,1,4,1,15,63,0,182,182,182,1130.167,686.167,50
cam1-b1-d1,1,1,4,1,16,64,0,173,173,173,1183.5,686.167,50
cam1-b2-d1,1,2,1,1,1,1,0,167,167,167,518,493,50
cam1-b2-d1,1,2,1,1,2,2,0,184,184,184,671.5,494.167,50
cam1-b2-d1,1,2,1,1,3,3,0,175,175,175,726.167,495.5,50
cam1-b2-d1,1,2,1,1,4,4,0,181,181,181,783.5,494.167,50
cam1-b2-d1,1,2,1,1,5,5,0,174,174,174,895.5,492.833,50
cam1-b2-d1,1,2,1,1,6,6,0,167,167,167,942.167,487.5,50
cam1-b2-d1,1,2,1,1,7,7,0,173,173,173,939.5,239.5,50
cam1-b2-d1,1,2,1,1,8,8,0,180,180,180,887.5,236.833,50
cam1-b2-d1,1,2,1,1,9,9,0,181,181,181,780.833,238.167,50
cam1-b2-d1,1,2,1,1,10,10,0,190,190,190,720.833,236.833,50
cam1-b2-d1,1,2,1,1,11,11,0,187,187,187,668.833,236.833,50
cam1-b2-d1,1,2,1,1,12,12,0,173,173,173,514.167,247.5,50
cam1-b2-d1,1,2,1,1,13,13,0,172,172,172,944.833,366.167,50
cam1-b2-d1,1,2,1,1,14,14,0,187,187,187,891.5,367.5,50
cam1-b2-d1,1,2,1,1,15,15,0,190,190,190,780.833,362.167,50
cam1-b2-d1,1,2,1,1,16,16,0,193,193,193,726.167,362.167,50
cam1-b2-d1,1,2,2,1,1,17,0,187,187,187,1403.5,250.167,50
cam1-b2-d1,1,2,2,1,2,18,0,177,177,177,1247.5,251.5,50
cam1-b2-d1,1,2,2,1,3,19,0,170,170,170,1195.5,250.167,50
cam1-b2-d1,1,2,2,1,4,20,0,191,191,191,1139.5,247.5,50
cam1-b2-d1,1,2,2,1,5,21,0,176,176,176,1031.5,248.833,50
cam1-b2-d1,1,2,2,1,6,22,0,182,182,182,979.5,247.5,50
cam1-b2-d1,1,2,2,1,7,23,0,155,155,155,980.833,496.833,50
cam1-b2-d1,1,2,2,1,8,24,0,172,172,172,1034.167,498.167,50
cam1-b2-d1,1,2,2,1,9,25,0,164,164,164,1140.833,499.5,50
cam1-b2-d1,1,2,2,1,10,26,0,171,171,171,1196.833,503.5,50
cam1-b2-d1,1,2,2,1,11,27,0,180,180,180,1250.167,499.5,50
cam1-b2-d1,1,2,2,1,12,28,0,171,171,171,1408.833,492.833,50
cam1-b2-d1,1,2,2,1,13,29,0,186,186,186,980.833,374.167,50
cam1-b2-d1,1,2,2,1,14,30,0,182,182,182,1031.5,374.167,50
cam1-b2-d1,1,2,2,1,15,31,0,188,188,188,1144.833,379.5,50
cam1-b2-d1,1,2,2,1,16,32,0,187,187,187,1195.5,378.167,50
cam1-b2-d1,1,2,3,1,1,33,0,175,175,175,514.167,540.833,50
cam1-b2-d1,1,2,3,1,2,34,0,183,183,183,672.833,540.833,50
cam1-b2-d1,1,2,3,1,3,35,0,187,187,187,732.833,536.833,50
cam1-b2-d1,1,2,3,1,4,36,0,194,194,194,783.5,540.833,50
cam1-b2-d1,1,2,3,1,5,37,0,181,181,181,891.5,538.167,50
cam1-b2-d1,1,2,3,1,6,38,0,186,186,186,940.833,543.5,50
cam1-b2-d1,1,2,3,1,7,39,0,157,157,157,947.5,786.167,50
cam1-b2-d1,1,2,3,1,8,40,0,153,153,153,896.833,794.167,50
cam1-b2-d1,1,2,3,1,9,41,0,164,164,164,787.5,794.167,50
cam1-b2-d1,1,2,3,1,10,42,0,188,188,188,732.833,794.167,50
cam1-b2-d1,1,2,3,1,11,43,0,186,186,186,674.167,792.833,50
cam1-b2-d1,1,2,3,1,12,44,0,141,141,141,515.5,792.833,50
cam1-b2-d1,1,2,3,1,13,45,0,170,170,170,947.5,664.833,50
cam1-b2-d1,1,2,3,1,14,46,0,193,193,193,896.833,663.5,50
cam1-b2-d1,1,2,3,1,15,47,0,189,189,189,783.5,668.833,50
cam1-b2-d1,1,2,3,1,16,48,0,198,198,198,730.167,670.167,50
cam1-b2-d1,1,2,4,1,1,49,0,178,178,178,1406.167,780.833,50
cam1-b2-d1,1,2,4,1,2,50,0,176,176,176,1250.167,784.833,50
cam1-b2-d1,1,2,4,1,3,51,0,182,182,182,1198.167,788.833,50
cam1-b2-d1,1,2,4,1,4,52,0,169,169,169,1143.5,788.833,50
